"activity" "subject" "measurement" "mean(value)"
"LAYING" 20 "fBodyGyro-meanFreq()-Z" -0.0451471448155128
"LAYING" 20 "fBodyAccMag-mean()" -0.505493351425641
"LAYING" 20 "fBodyAccMag-meanFreq()" 0.0738546529198077
"LAYING" 20 "fBodyBodyAccJerkMag-mean()" -0.538159936420513
"LAYING" 20 "fBodyBodyAccJerkMag-meanFreq()" 0.116672886235897
"LAYING" 20 "fBodyBodyGyroMag-mean()" -0.547332691298077
"LAYING" 20 "fBodyBodyGyroMag-meanFreq()" -0.00263009196333333
"LAYING" 20 "fBodyBodyGyroJerkMag-mean()" -0.659341951769231
"LAYING" 20 "fBodyBodyGyroJerkMag-meanFreq()" 0.0947926593894872
"LAYING" 20 "angle(tBodyAccMean,gravity)" -0.0104984399246154
"LAYING" 20 "angle(tBodyAccJerkMean),gravityMean)" 0.0116779235473718
"LAYING" 20 "angle(tBodyGyroMean,gravityMean)" -0.00336637496538461
"LAYING" 20 "angle(tBodyGyroJerkMean,gravityMean)" -0.0358808716955128
"LAYING" 20 "angle(X,gravityMean)" -0.391737559294872
"LAYING" 20 "angle(Y,gravityMean)" 0.0400896900897436
"LAYING" 20 "angle(Z,gravityMean)" -0.0560916735528205
"LAYING" 20 "tBodyAcc-std()-X" -0.546535422961538
"LAYING" 20 "tBodyAcc-std()-Y" -0.259011300096154
"LAYING" 20 "tBodyAcc-std()-Z" -0.639730168647436
"LAYING" 20 "tGravityAcc-std()-X" -0.95804564051282
"LAYING" 20 "tGravityAcc-std()-Y" -0.951149621217949
"LAYING" 20 "tGravityAcc-std()-Z" -0.943657000576923
"LAYING" 20 "tBodyAccJerk-std()-X" -0.586215941176923
"LAYING" 20 "tBodyAccJerk-std()-Y" -0.426120353397436
"LAYING" 20 "tBodyAccJerk-std()-Z" -0.738913456730769
"LAYING" 20 "tBodyGyro-std()-X" -0.652396391814103
"LAYING" 20 "tBodyGyro-std()-Y" -0.485894484605705
"LAYING" 20 "tBodyGyro-std()-Z" -0.460843186407692
"LAYING" 20 "tBodyGyroJerk-std()-X" -0.653186069490385
"LAYING" 20 "tBodyGyroJerk-std()-Y" -0.643573137512821
"LAYING" 20 "tBodyGyroJerk-std()-Z" -0.536900063648718
"LAYING" 20 "tBodyAccMag-std()" -0.519017420878205
"LAYING" 20 "tGravityAccMag-std()" -0.519017420878205
"LAYING" 20 "tBodyAccJerkMag-std()" -0.540847617073269
"LAYING" 20 "tBodyGyroMag-std()" -0.521471397919231
"LAYING" 20 "tBodyGyroJerkMag-std()" -0.65307636871282
"LAYING" 20 "fBodyAcc-std()-X" -0.538561223491667
"LAYING" 20 "fBodyAcc-std()-Y" -0.273948137371154
"LAYING" 20 "fBodyAcc-std()-Z" -0.65088931224359
"LAYING" 20 "fBodyAccJerk-std()-X" -0.584111033739744
"LAYING" 20 "fBodyAccJerk-std()-Y" -0.420402255935897
"LAYING" 20 "fBodyAccJerk-std()-Z" -0.745732864166667
"LAYING" 20 "fBodyGyro-std()-X" -0.676883051647436
"LAYING" 20 "fBodyGyro-std()-Y" -0.46709876350641
"LAYING" 20 "fBodyGyro-std()-Z" -0.522534472884615
"LAYING" 20 "fBodyAccMag-std()" -0.604222557220513
"LAYING" 20 "fBodyBodyAccJerkMag-std()" -0.548497929924744
"LAYING" 20 "fBodyBodyGyroMag-std()" -0.588328799467949
"LAYING" 20 "fBodyBodyGyroJerkMag-std()" -0.670451894533974
"LAYING" 24 "tBodyAcc-mean()-X" 0.276767046391076
"LAYING" 24 "tBodyAcc-mean()-Y" -0.0176822460103885
"LAYING" 24 "tBodyAcc-mean()-Z" -0.107914503687664
"LAYING" 24 "tGravityAcc-mean()-X" 0.69498126808399
"LAYING" 24 "tGravityAcc-mean()-Y" 0.0729509702152231
"LAYING" 24 "tGravityAcc-mean()-Z" 0.0623227714146982
"LAYING" 24 "tBodyAccJerk-mean()-X" 0.0784735003467192
"LAYING" 24 "tBodyAccJerk-mean()-Y" 0.00396900308574016
"LAYING" 24 "tBodyAccJerk-mean()-Z" -0.00700960558805774
"LAYING" 24 "tBodyGyro-mean()-X" -0.0212578096847769
"LAYING" 24 "tBodyGyro-mean()-Y" -0.0782440202677165
"LAYING" 24 "tBodyGyro-mean()-Z" 0.0841740375981627
"LAYING" 24 "tBodyGyroJerk-mean()-X" -0.0998294248142257
"LAYING" 24 "tBodyGyroJerk-mean()-Y" -0.0390749421383202
"LAYING" 24 "tBodyGyroJerk-mean()-Z" -0.0552987683401575
"LAYING" 24 "tBodyAccMag-mean()" -0.620032665162467
"LAYING" 24 "tGravityAccMag-mean()" -0.620032665162467
"LAYING" 24 "tBodyAccJerkMag-mean()" -0.713667423769029
"LAYING" 24 "tBodyGyroMag-mean()" -0.682447212750656
"LAYING" 24 "tBodyGyroJerkMag-mean()" -0.791646550787402
"LAYING" 24 "fBodyAcc-mean()-X" -0.707613779580052
"LAYING" 24 "fBodyAcc-mean()-Y" -0.611509042586877
"LAYING" 24 "fBodyAcc-mean()-Z" -0.65585899482231
"LAYING" 24 "fBodyAcc-meanFreq()-X" -0.263352298517585
"LAYING" 24 "fBodyAcc-meanFreq()-Y" -0.0176079240963255
"LAYING" 24 "fBodyAcc-meanFreq()-Z" 0.0812580797481102
"LAYING" 24 "fBodyAccJerk-mean()-X" -0.752245372493438
"LAYING" 24 "fBodyAccJerk-mean()-Y" -0.703641614506562
"LAYING" 24 "fBodyAccJerk-mean()-Z" -0.719655747391076
"LAYING" 24 "fBodyAccJerk-meanFreq()-X" -0.0570423475325459
"LAYING" 24 "fBodyAccJerk-meanFreq()-Y" -0.23113163252252
"LAYING" 24 "fBodyAccJerk-meanFreq()-Z" -0.13977119240315
"LAYING" 24 "fBodyGyro-mean()-X" -0.722607377748032
"LAYING" 24 "fBodyGyro-mean()-Y" -0.753710479580053
"LAYING" 24 "fBodyGyro-mean()-Z" -0.70948857687664
"LAYING" 24 "fBodyGyro-meanFreq()-X" -0.0501078590267979
"LAYING" 24 "fBodyGyro-meanFreq()-Y" -0.0975347609866142
"LAYING" 24 "fBodyGyro-meanFreq()-Z" -0.0556407394121785
"LAYING" 24 "fBodyAccMag-mean()" -0.650121872273806
"LAYING" 24 "fBodyAccMag-meanFreq()" 0.0236300571840945
"LAYING" 24 "fBodyBodyAccJerkMag-mean()" -0.696845583388451
"LAYING" 24 "fBodyBodyAccJerkMag-meanFreq()" 0.198422013108136
"LAYING" 24 "fBodyBodyGyroMag-mean()" -0.754131617480315
"LAYING" 24 "fBodyBodyGyroMag-meanFreq()" 0.0194486014291864
"LAYING" 24 "fBodyBodyGyroJerkMag-mean()" -0.795019165380577
"LAYING" 24 "fBodyBodyGyroJerkMag-meanFreq()" 0.161739608926982
"LAYING" 24 "angle(tBodyAccMean,gravity)" -0.00231723415711286
"LAYING" 24 "angle(tBodyAccJerkMean),gravityMean)" -0.0124784211089239
"LAYING" 24 "angle(tBodyGyroMean,gravityMean)" -0.0139827364349081
"LAYING" 24 "angle(tBodyGyroJerkMean,gravityMean)" -0.0030034683175853
"LAYING" 24 "angle(X,gravityMean)" -0.545993623779528
"LAYING" 24 "angle(Y,gravityMean)" 0.0198668428905512
"LAYING" 24 "angle(Z,gravityMean)" -0.031230921055643
"LAYING" 24 "tBodyAcc-std()-X" -0.675459176298425
"LAYING" 24 "tBodyAcc-std()-Y" -0.582490655185302
"LAYING" 24 "tBodyAcc-std()-Z" -0.636497458900262
"LAYING" 24 "tGravityAcc-std()-X" -0.975329699658793
"LAYING" 24 "tGravityAcc-std()-Y" -0.96089816664042
"LAYING" 24 "tGravityAcc-std()-Z" -0.955724566194226
"LAYING" 24 "tBodyAccJerk-std()-X" -0.74030054488189
"LAYING" 24 "tBodyAccJerk-std()-Y" -0.685979796261942
"LAYING" 24 "tBodyAccJerk-std()-Z" -0.736374232574803
"LAYING" 24 "tBodyGyro-std()-X" -0.776199049939633
"LAYING" 24 "tBodyGyro-std()-Y" -0.763365457296588
"LAYING" 24 "tBodyGyro-std()-Z" -0.708251676335958
"LAYING" 24 "tBodyGyroJerk-std()-X" -0.764490030609974
"LAYING" 24 "tBodyGyroJerk-std()-Y" -0.792718702440945
"LAYING" 24 "tBodyGyroJerk-std()-Z" -0.796816516614173
"LAYING" 24 "tBodyAccMag-std()" -0.650862147810236
"LAYING" 24 "tGravityAccMag-std()" -0.650862147810236
"LAYING" 24 "tBodyAccJerkMag-std()" -0.689391189346457
"LAYING" 24 "tBodyGyroMag-std()" -0.742983126606299
"LAYING" 24 "tBodyGyroJerkMag-std()" -0.788997850813648
"LAYING" 24 "fBodyAcc-std()-X" -0.664356691751496
"LAYING" 24 "fBodyAcc-std()-Y" -0.594676790059055
"LAYING" 24 "fBodyAcc-std()-Z" -0.655360521446194
"LAYING" 24 "fBodyAccJerk-std()-X" -0.751378154304462
"LAYING" 24 "fBodyAccJerk-std()-Y" -0.688280461860892
"LAYING" 24 "fBodyAccJerk-std()-Z" -0.751628687821522
"LAYING" 24 "fBodyGyro-std()-X" -0.794063529133858
"LAYING" 24 "fBodyGyro-std()-Y" -0.771969808976378
"LAYING" 24 "fBodyGyro-std()-Z" -0.735749934304462
"LAYING" 24 "fBodyAccMag-std()" -0.705928425819685
"LAYING" 24 "fBodyBodyAccJerkMag-std()" -0.682447145993307
"LAYING" 24 "fBodyBodyGyroMag-std()" -0.782076276167979
"LAYING" 24 "fBodyBodyGyroJerkMag-std()" -0.796157264514436
"LAYING" 27 "tBodyAcc-mean()-X" 0.277798919328859
"LAYING" 27 "tBodyAcc-mean()-Y" -0.0169386590334393
"LAYING" 27 "tBodyAcc-mean()-Z" -0.112273368370134
"LAYING" 27 "tGravityAcc-mean()-X" 0.585139591107383
"LAYING" 27 "tGravityAcc-mean()-Y" 0.0234793061308725
"LAYING" 27 "tGravityAcc-mean()-Z" 0.120613102375168
"LAYING" 27 "tBodyAccJerk-mean()-X" 0.076859186338255
"LAYING" 27 "tBodyAccJerk-mean()-Y" 0.0051839851588557
"LAYING" 27 "tBodyAccJerk-mean()-Z" -0.00554795896677852
"LAYING" 27 "tBodyGyro-mean()-X" -0.0683332171546644
"LAYING" 27 "tBodyGyro-mean()-Y" -0.0496441313538255
"LAYING" 27 "tBodyGyro-mean()-Z" 0.116262252263758
"LAYING" 27 "tBodyGyroJerk-mean()-X" -0.0873862322442852
"LAYING" 27 "tBodyGyroJerk-mean()-Y" -0.0464751059848658
"LAYING" 27 "tBodyGyroJerk-mean()-Z" -0.0600793214
"LAYING" 27 "tBodyAccMag-mean()" -0.535726883050671
"LAYING" 27 "tGravityAccMag-mean()" -0.535726883050671
"LAYING" 27 "tBodyAccJerkMag-mean()" -0.626287365461409
"LAYING" 27 "tBodyGyroMag-mean()" -0.622646577775503
"LAYING" 27 "tBodyGyroJerkMag-mean()" -0.778275050167785
"LAYING" 27 "fBodyAcc-mean()-X" -0.600641532119463
"LAYING" 27 "fBodyAcc-mean()-Y" -0.553874359468121
"LAYING" 27 "fBodyAcc-mean()-Z" -0.646548247644295
"LAYING" 27 "fBodyAcc-meanFreq()-X" -0.216131719939933
"LAYING" 27 "fBodyAcc-meanFreq()-Y" 0.0858186568151678
"LAYING" 27 "fBodyAcc-meanFreq()-Z" 0.128265826486913
"LAYING" 27 "fBodyAccJerk-mean()-X" -0.641991780991611
"LAYING" 27 "fBodyAccJerk-mean()-Y" -0.618436710858725
"LAYING" 27 "fBodyAccJerk-mean()-Z" -0.711004343278523
"LAYING" 27 "fBodyAccJerk-meanFreq()-X" -0.0750278092104698
"LAYING" 27 "fBodyAccJerk-meanFreq()-Y" -0.148034757114094
"LAYING" 27 "fBodyAccJerk-meanFreq()-Z" -0.108827197161409
"LAYING" 27 "fBodyGyro-mean()-X" -0.711546673275168
"LAYING" 27 "fBodyGyro-mean()-Y" -0.745557413412416
"LAYING" 27 "fBodyGyro-mean()-Z" -0.630494529231544
"LAYING" 27 "fBodyGyro-meanFreq()-X" -0.102116029167047
"LAYING" 27 "fBodyGyro-meanFreq()-Y" -0.0189862452485906
"LAYING" 27 "fBodyGyro-meanFreq()-Z" -0.0197633805593792
"LAYING" 27 "fBodyAccMag-mean()" -0.585787631892617
"LAYING" 27 "fBodyAccMag-meanFreq()" 0.176607223706242
"LAYING" 27 "fBodyBodyAccJerkMag-mean()" -0.609647345982886
"LAYING" 27 "fBodyBodyAccJerkMag-meanFreq()" 0.214336221197315
"LAYING" 27 "fBodyBodyGyroMag-mean()" -0.735008737516779
"LAYING" 27 "fBodyBodyGyroMag-meanFreq()" 0.0282875910536577
"LAYING" 27 "fBodyBodyGyroJerkMag-mean()" -0.796725772701342
"LAYING" 27 "fBodyBodyGyroJerkMag-meanFreq()" 0.183050823624698
"LAYING" 27 "angle(tBodyAccMean,gravity)" -0.00107359758718121
"LAYING" 27 "angle(tBodyAccJerkMean),gravityMean)" 0.0130746659501007
"LAYING" 27 "angle(tBodyGyroMean,gravityMean)" 0.0562656834536913
"LAYING" 27 "angle(tBodyGyroJerkMean,gravityMean)" -0.0601138842503356
"LAYING" 27 "angle(X,gravityMean)" -0.426265140067114
"LAYING" 27 "angle(Y,gravityMean)" 0.0603991269194631
"LAYING" 27 "angle(Z,gravityMean)" -0.0866947937633893
"LAYING" 27 "tBodyAcc-std()-X" -0.574783321550336
"LAYING" 27 "tBodyAcc-std()-Y" -0.541012892132886
"LAYING" 27 "tBodyAcc-std()-Z" -0.60815876533557
"LAYING" 27 "tGravityAcc-std()-X" -0.971679845234899
"LAYING" 27 "tGravityAcc-std()-Y" -0.969891146979866
"LAYING" 27 "tGravityAcc-std()-Z" -0.956568824597315
"LAYING" 27 "tBodyAccJerk-std()-X" -0.624308492209396
"LAYING" 27 "tBodyAccJerk-std()-Y" -0.593582093143792
"LAYING" 27 "tBodyAccJerk-std()-Z" -0.729557309630873
"LAYING" 27 "tBodyGyro-std()-X" -0.745669027144295
"LAYING" 27 "tBodyGyro-std()-Y" -0.754439610369128
"LAYING" 27 "tBodyGyro-std()-Z" -0.594631679097315
"LAYING" 27 "tBodyGyroJerk-std()-X" -0.776155496711409
"LAYING" 27 "tBodyGyroJerk-std()-Y" -0.796468156174497
"LAYING" 27 "tBodyGyroJerk-std()-Z" -0.727982409261745
"LAYING" 27 "tBodyAccMag-std()" -0.600445866154362
"LAYING" 27 "tGravityAccMag-std()" -0.600445866154362
"LAYING" 27 "tBodyAccJerkMag-std()" -0.618887250102013
"LAYING" 27 "tBodyGyroMag-std()" -0.697498265308054
"LAYING" 27 "tBodyGyroJerkMag-std()" -0.796244747537248
"LAYING" 27 "fBodyAcc-std()-X" -0.566781295338926
"LAYING" 27 "fBodyAcc-std()-Y" -0.565176644248322
"LAYING" 27 "fBodyAcc-std()-Z" -0.620141790812081
"LAYING" 27 "fBodyAccJerk-std()-X" -0.63962383364094
"LAYING" 27 "fBodyAccJerk-std()-Y" -0.594512488954698
"LAYING" 27 "fBodyAccJerk-std()-Z" -0.746736746744966
"LAYING" 27 "fBodyGyro-std()-X" -0.758703337557047
"LAYING" 27 "fBodyGyro-std()-Y" -0.763234809362416
"LAYING" 27 "fBodyGyro-std()-Z" -0.623261741473154
"LAYING" 27 "fBodyAccMag-std()" -0.672092417700336
"LAYING" 27 "fBodyBodyAccJerkMag-std()" -0.633580675552349
"LAYING" 27 "fBodyBodyGyroMag-std()" -0.726661203895973
"LAYING" 27 "fBodyBodyGyroJerkMag-std()" -0.810137398130872
"LAYING" 28 "tBodyAcc-mean()-X" 0.277532554764398
"LAYING" 28 "tBodyAcc-mean()-Y" -0.0191721442063089
"LAYING" 28 "tBodyAcc-mean()-Z" -0.109710873104188
"LAYING" 28 "tGravityAcc-mean()-X" 0.62376789513089
"LAYING" 28 "tGravityAcc-mean()-Y" -0.14757775521466
"LAYING" 28 "tGravityAcc-mean()-Z" -0.0469931021049738
"LAYING" 28 "tBodyAccJerk-mean()-X" 0.0807263062382199
"LAYING" 28 "tBodyAccJerk-mean()-Y" 0.0138224436546073
"LAYING" 28 "tBodyAccJerk-mean()-Z" 0.000824208324801046
"LAYING" 28 "tBodyGyro-mean()-X" -0.064496354556466
"LAYING" 28 "tBodyGyro-mean()-Y" -0.0471474023101021
"LAYING" 28 "tBodyGyro-mean()-Z" 0.100840281329581
"LAYING" 28 "tBodyGyroJerk-mean()-X" -0.0881213551172775
"LAYING" 28 "tBodyGyroJerk-mean()-Y" -0.0447972595862042
"LAYING" 28 "tBodyGyroJerk-mean()-Z" -0.0607680707408115
"LAYING" 28 "tBodyAccMag-mean()" -0.610030902501309
"LAYING" 28 "tGravityAccMag-mean()" -0.610030902501309
"LAYING" 28 "tBodyAccJerkMag-mean()" -0.689429387759162
"LAYING" 28 "tBodyGyroMag-mean()" -0.648538641430367
"LAYING" 28 "tBodyGyroJerkMag-mean()" -0.78929494326178
"LAYING" 28 "fBodyAcc-mean()-X" -0.654156519193717
"LAYING" 28 "fBodyAcc-mean()-Y" -0.584932500113874
"LAYING" 28 "fBodyAcc-mean()-Z" -0.715134474431937
"LAYING" 28 "fBodyAcc-meanFreq()-X" -0.217894722988743
"LAYING" 28 "fBodyAcc-meanFreq()-Y" -0.0652270030997382
"LAYING" 28 "fBodyAcc-meanFreq()-Z" 0.0189878861753927
"LAYING" 28 "fBodyAccJerk-mean()-X" -0.686723799059424
"LAYING" 28 "fBodyAccJerk-mean()-Y" -0.670718095926963
"LAYING" 28 "fBodyAccJerk-mean()-Z" -0.779061720358639
"LAYING" 28 "fBodyAccJerk-meanFreq()-X" -0.034209736104712
"LAYING" 28 "fBodyAccJerk-meanFreq()-Y" -0.277563092237149
"LAYING" 28 "fBodyAccJerk-meanFreq()-Z" -0.126061027159817
"LAYING" 28 "fBodyGyro-mean()-X" -0.674356656020942
"LAYING" 28 "fBodyGyro-mean()-Y" -0.747067907931937
"LAYING" 28 "fBodyGyro-mean()-Z" -0.673513886890838
"LAYING" 28 "fBodyGyro-meanFreq()-X" -0.151644339683717
"LAYING" 28 "fBodyGyro-meanFreq()-Y" -0.270613215077225
"LAYING" 28 "fBodyGyro-meanFreq()-Z" -0.0896917400047906
"LAYING" 28 "fBodyAccMag-mean()" -0.628763247405236
"LAYING" 28 "fBodyAccMag-meanFreq()" 0.0179948502780366
"LAYING" 28 "fBodyBodyAccJerkMag-mean()" -0.675428720467801
"LAYING" 28 "fBodyBodyAccJerkMag-meanFreq()" 0.173610396659424
"LAYING" 28 "fBodyBodyGyroMag-mean()" -0.73790809206911
"LAYING" 28 "fBodyBodyGyroMag-meanFreq()" -0.122999827523272
"LAYING" 28 "fBodyBodyGyroJerkMag-mean()" -0.806882151753927
"LAYING" 28 "fBodyBodyGyroJerkMag-meanFreq()" -0.00200923842099476
"LAYING" 28 "angle(tBodyAccMean,gravity)" 0.0051397456891623
"LAYING" 28 "angle(tBodyAccJerkMean),gravityMean)" -0.00901140259397906
"LAYING" 28 "angle(tBodyGyroMean,gravityMean)" 0.0480755265267016
"LAYING" 28 "angle(tBodyGyroJerkMean,gravityMean)" -0.00150494933062827
"LAYING" 28 "angle(X,gravityMean)" -0.437369402670157
"LAYING" 28 "angle(Y,gravityMean)" 0.182743741320916
"LAYING" 28 "angle(Z,gravityMean)" 0.0624075363685864
"LAYING" 28 "tBodyAcc-std()-X" -0.649040391307853
"LAYING" 28 "tBodyAcc-std()-Y" -0.573651895933508
"LAYING" 28 "tBodyAcc-std()-Z" -0.685821415026178
"LAYING" 28 "tGravityAcc-std()-X" -0.973873328062827
"LAYING" 28 "tGravityAcc-std()-Y" -0.960365626256545
"LAYING" 28 "tGravityAcc-std()-Z" -0.946225637251309
"LAYING" 28 "tBodyAccJerk-std()-X" -0.680813725392147
"LAYING" 28 "tBodyAccJerk-std()-Y" -0.651619848945026
"LAYING" 28 "tBodyAccJerk-std()-Z" -0.800870581884817
"LAYING" 28 "tBodyGyro-std()-X" -0.740276591873298
"LAYING" 28 "tBodyGyro-std()-Y" -0.741285540196335
"LAYING" 28 "tBodyGyro-std()-Z" -0.669789662889791
"LAYING" 28 "tBodyGyroJerk-std()-X" -0.720515676293194
"LAYING" 28 "tBodyGyroJerk-std()-Y" -0.825038783246073
"LAYING" 28 "tBodyGyroJerk-std()-Z" -0.769755981125654
"LAYING" 28 "tBodyAccMag-std()" -0.635821226515969
"LAYING" 28 "tGravityAccMag-std()" -0.635821226515969
"LAYING" 28 "tBodyAccJerkMag-std()" -0.687703433627487
"LAYING" 28 "tBodyGyroMag-std()" -0.710956808836911
"LAYING" 28 "tBodyGyroJerkMag-std()" -0.805738383010471
"LAYING" 28 "fBodyAcc-std()-X" -0.647807192984293
"LAYING" 28 "fBodyAcc-std()-Y" -0.595110472615916
"LAYING" 28 "fBodyAcc-std()-Z" -0.695767279528796
"LAYING" 28 "fBodyAccJerk-std()-X" -0.704073382410995
"LAYING" 28 "fBodyAccJerk-std()-Y" -0.654855915271466
"LAYING" 28 "fBodyAccJerk-std()-Z" -0.821715494424084
"LAYING" 28 "fBodyGyro-std()-X" -0.762030978010471
"LAYING" 28 "fBodyGyro-std()-Y" -0.740819453429319
"LAYING" 28 "fBodyGyro-std()-Z" -0.700291282881152
"LAYING" 28 "fBodyAccMag-std()" -0.696993999667801
"LAYING" 28 "fBodyBodyAccJerkMag-std()" -0.706415829342932
"LAYING" 28 "fBodyBodyGyroMag-std()" -0.743784612693717
"LAYING" 28 "fBodyBodyGyroJerkMag-std()" -0.818448508376963
"LAYING" 29 "tBodyAcc-mean()-X" 0.279111521944767
"LAYING" 29 "tBodyAcc-mean()-Y" -0.018471953048314
"LAYING" 29 "tBodyAcc-mean()-Z" -0.108675612269477
"LAYING" 29 "tGravityAcc-mean()-X" 0.683067625610465
"LAYING" 29 "tGravityAcc-mean()-Y" 0.115489757911628
"LAYING" 29 "tGravityAcc-mean()-Z" 0.208215370043721
"LAYING" 29 "tBodyAccJerk-mean()-X" 0.0788382324713372
"LAYING" 29 "tBodyAccJerk-mean()-Y" 0.00900161248883721
"LAYING" 29 "tBodyAccJerk-mean()-Z" -0.00355290542467733
"LAYING" 29 "tBodyGyro-mean()-X" -0.0101831910869331
"LAYING" 29 "tBodyGyro-mean()-Y" -0.0882883296441861
"LAYING" 29 "tBodyGyro-mean()-Z" 0.0881626266546221
"LAYING" 29 "tBodyGyroJerk-mean()-X" -0.100707751809855
"LAYING" 29 "tBodyGyroJerk-mean()-Y" -0.0464322029527616
"LAYING" 29 "tBodyGyroJerk-mean()-Z" -0.052785999031686
"LAYING" 29 "tBodyAccMag-mean()" -0.553585593347965
"LAYING" 29 "tGravityAccMag-mean()" -0.553585593347965
"LAYING" 29 "tBodyAccJerkMag-mean()" -0.664538060484884
"LAYING" 29 "tBodyGyroMag-mean()" -0.602228993700349
"LAYING" 29 "tBodyGyroJerkMag-mean()" -0.802293906366279
"LAYING" 29 "fBodyAcc-mean()-X" -0.579901000186134
"LAYING" 29 "fBodyAcc-mean()-Y" -0.587686308146221
"LAYING" 29 "fBodyAcc-mean()-Z" -0.680547675465116
"LAYING" 29 "fBodyAcc-meanFreq()-X" -0.165350787567733
"LAYING" 29 "fBodyAcc-meanFreq()-Y" 0.128076957523023
"LAYING" 29 "fBodyAcc-meanFreq()-Z" 0.0886270605992151
"LAYING" 29 "fBodyAccJerk-mean()-X" -0.629875853152035
"LAYING" 29 "fBodyAccJerk-mean()-Y" -0.641289075786337
"LAYING" 29 "fBodyAccJerk-mean()-Z" -0.768433928313954
"LAYING" 29 "fBodyAccJerk-meanFreq()-X" 0.0107764076990698
"LAYING" 29 "fBodyAccJerk-meanFreq()-Y" -0.0815611305061628
"LAYING" 29 "fBodyAccJerk-meanFreq()-Z" -0.00952646181569767
"LAYING" 29 "fBodyGyro-mean()-X" -0.685747413486628
"LAYING" 29 "fBodyGyro-mean()-Y" -0.735972301656977
"LAYING" 29 "fBodyGyro-mean()-Z" -0.689221357718023
"LAYING" 29 "fBodyGyro-meanFreq()-X" 0.00201044246625
"LAYING" 29 "fBodyGyro-meanFreq()-Y" -0.253940049719767
"LAYING" 29 "fBodyGyro-meanFreq()-Z" 0.0203516079320058
"LAYING" 29 "fBodyAccMag-mean()" -0.589294014734302
"LAYING" 29 "fBodyAccMag-meanFreq()" 0.162765300930698
"LAYING" 29 "fBodyBodyAccJerkMag-mean()" -0.609879937469099
"LAYING" 29 "fBodyBodyAccJerkMag-meanFreq()" 0.227450813250137
"LAYING" 29 "fBodyBodyGyroMag-mean()" -0.722018434984302
"LAYING" 29 "fBodyBodyGyroMag-meanFreq()" -0.0446469221483721
"LAYING" 29 "fBodyBodyGyroJerkMag-mean()" -0.840464164156977
"LAYING" 29 "fBodyBodyGyroJerkMag-meanFreq()" 0.212434137252471
"LAYING" 29 "angle(tBodyAccMean,gravity)" 0.00843199681639535
"LAYING" 29 "angle(tBodyAccJerkMean),gravityMean)" -0.00445131495703488
"LAYING" 29 "angle(tBodyGyroMean,gravityMean)" -0.0431070383319767
"LAYING" 29 "angle(tBodyGyroJerkMean,gravityMean)" -0.000946753019534884
"LAYING" 29 "angle(X,gravityMean)" -0.560722156395349
"LAYING" 29 "angle(Y,gravityMean)" -0.0159365438755814
